Local time,Open,High,Low,Close,Volume
06.05.2019,6485,6637,6476,6588,1.3615000000000002
07.05.2019,6589,6604,6510,6567,1.1506000000000003
08.05.2019,6567,6609,6410,6528,1.1860999999999997
09.05.2019,6526,6563,6061,6185,2.6805
12.05.2019,6188,6248,6086,6190,1.5679
15.05.2019,6210,7256,6148,6333,3.3589
16.05.2019,6334,6432,6322,6397,0.5732
19.05.2019,6397,6425,6351,6375,0.3011
20.05.2019,6376,6429,6297,6332,0.3535
21.05.2019,6332,6348,6297,6322,0.4059
26.05.2019,6375,6378,6315,6354,0.2507999999999999
27.05.2019,6353,6356,6298,6331,0.2882
28.05.2019,6333,6400,6330,6365,0.3941000000000001
29.05.2019,6365,6369,6301,6339,0.6358999999999999
30.05.2019,6342,6390,6321,6345,0.3076
04.06.2019,6336,6359,6149,6184,0.471
05.06.2019,6184,6230,6176,6208,0.351
06.06.2019,6208,6294,6143,6243,0.3882
09.06.2019,6243,6278,6234,6278,0.2978
10.06.2019,6278,6319,6272,6294,0.4111000000000001
13.06.2019,6354,6380,6313,6342,0.3876999999999999
16.06.2019,6341,6393,6327,6362,0.3798000000000001
17.06.2019,6361,6478,6361,6443,0.4277999999999999
18.06.2019,6442,6453,6332,6360,0.4505000000000001
19.06.2019,6360,6366,6251,6269,0.4033999999999999
24.06.2019,6258,6324,6247,6251,0.4215
25.06.2019,6249,6268,6199,6219,0.54
26.06.2019,6219,6233,5248,5491,0.6783
27.06.2019,5485,5581,5145,5409,1.0068
30.06.2019,5419,5549,5381,5386,0.5304000000000001
03.07.2019,5485,5499,4633,4731,2.4368
04.07.2019,4723,4832,3995,4278,2.7155
07.07.2019,4277,4571,4131,4391,2.3791000000000007
08.07.2019,4391,4530,4304,4370,1.5493
09.07.2019,4370,4387,4033,4199,1.8468
14.07.2019,3988,4031,3461,3604,2.2663
15.07.2019,3604,3738,3505,3710,1.8535000000000004
16.07.2019,3706,4298,3688,4163,2.291200000000001
17.07.2019,4161,4342,4029,4124,2.3372
18.07.2019,4124,4238,3808,3871,2.2676
23.07.2019,4086,4100,3688,3813,1.7164
24.07.2019,3813,3973,3685,3839,1.6802
25.07.2019,3839,3854,3608,3663,1.5614
28.07.2019,3663,3783,3490,3538,1.7906000000000002
29.07.2019,3537,3564,3155,3330,1.9703
01.08.2019,3464,3531,3296,3341,1.5894
04.08.2019,3341,3368,3239,3313,1.3742000000000003
05.08.2019,3313,3428,3266,3381,1.1872999999999998
06.08.2019,3381,3382,3165,3195,1.1534
07.08.2019,3196,3234,3077,3098,1.0344999999999998
12.08.2019,3143,3524,3123,3433,1.1061
13.08.2019,3432,3513,3375,3476,1.233
14.08.2019,3476,3863,3463,3608,1.8802000000000003
15.08.2019,3608,4112,3603,3935,2.5535
18.08.2019,3935,4102,3716,3789,2.7671
21.08.2019,3889,4176,3850,4005,1.9611
25.08.2019,3732,3802,3626,3716,2.0283999999999995
26.08.2019,3716,3780,3509,3526,1.9009
27.08.2019,3525,3901,3508,3833,1.7865
01.09.2019,3761,3785,3576,3613,1.2096
03.09.2019,3659,3839,3650,3825,1.7714
04.09.2019,3825,3855,3702,3734,1.435
05.09.2019,3734,3791,3672,3774,1.3676
10.09.2019,3973,4010,3914,3947,1.2647
11.09.2019,3946,4049,3890,3940,1.3137
12.09.2019,3939,3986,3910,3944,1.2655999999999998
15.09.2019,3943,3976,3513,3571,1.5077999999999998
16.09.2019,3571,3637,3530,3589,1.0555999999999996
19.09.2019,3456,3651,3436,3604,0.9797
22.09.2019,3604,3628,3487,3509,1.073
23.09.2019,3509,3606,3507,3544,1.295
24.09.2019,3544,3599,3485,3565,1.0676
25.09.2019,3565,3591,3520,3552,0.9536000000000004
30.09.2019,3480,3509,3448,3462,0.9124
01.10.2019,3462,3551,3373,3514,0.8902000000000001
02.10.2019,3513,3555,3462,3485,0.7263999999999999
03.10.2019,3484,3535,3470,3511,0.9934
06.10.2019,3511,3519,3452,3498,0.8414
09.10.2019,3482,3483,3321,3357,1.1444
10.10.2019,3357,3381,3285,3341,1.054
13.10.2019,3341,3400,3313,3373,0.8912000000000001
14.10.2019,3373,3413,3337,3357,0.8576999999999999
15.10.2019,3358,3397,3313,3390,0.8852000000000001
20.10.2019,3335,3377,3333,3358,0.7246
21.10.2019,3358,3371,3339,3363,0.5007
22.10.2019,3363,3385,3278,3306,0.8510999999999999
23.10.2019,3306,3322,3293,3299,0.7798999999999998
24.10.2019,3299,3651,3285,3534,1.0186
29.10.2019,3546,3597,3520,3533,0.8434
30.10.2019,3533,3559,3491,3517,0.9506
31.10.2019,3516,3569,3501,3512,0.9602000000000002
02.11.2019,3512,3530,3477,3510,32.6478
03.11.2019,3511,3557,3487,3504,133.1802
06.11.2019,3526,3857,3526,3792,567.7498
07.11.2019,3792,3911,3770,3828,398.618
09.11.2019,3828,3904,3806,3853,295.8448000000001
10.11.2019,3853,3927,3809,3839,236.52630000000005
11.11.2019,3837,3896,3826,3881,221.1978
14.11.2019,3725,3800,3669,3747,496.9639
16.11.2019,3747,3773,3706,3730,214.90270000000004
17.11.2019,3731,3763,3600,3689,190.922
18.11.2019,3689,3826,3681,3741,266.83309999999994
19.11.2019,3741,3784,3726,3769,151.18220000000002
23.11.2019,3730,3746,3613,3641,281.55659999999995
24.11.2019,3641,3812,3623,3774,245.7912
25.11.2019,3774,3832,3751,3787,192.948
26.11.2019,3785,3830,3770,3811,195.16610000000003
27.11.2019,3811,3851,3789,3807,208.60780000000003
01.12.2019,3837,3853,3761,3789,159.67620000000005
02.12.2019,3789,3817,3739,3806,192.40200000000004
03.12.2019,3806,3813,3768,3792,133.6685
04.12.2019,3792,3841,3725,3792,134.36700000000002
05.12.2019,3792,3849,3788,3838,147.14939999999996
09.12.2019,3915,3957,3875,3912,157.6566
10.12.2019,3912,3952,3890,3932,166.2887
11.12.2019,3932,3959,3904,3951,184.98440000000005
12.12.2019,3951,3997,3862,3918,163.92550000000006
14.12.2019,3918,3944,3907,3918,1.1945
17.12.2019,3903,3922,3804,3833,0.8292000000000002
18.12.2019,3832,3886,3825,3858,1.8845
19.12.2019,3858,3978,3850,3954,1.4029000000000005
21.12.2019,3954,3981,3939,3956,0.394
22.12.2019,3956,4046,3951,4014,0.8757
25.12.2019,4038,4093,4000,4072,1.4167000000000003
26.12.2019,4068,5027,4067,4747,22.753699999999995
28.12.2019,4743,5256,4726,5240,21.736899999999995
29.12.2019,5240,5289,4732,4791,88.3669
30.12.2019,4789,5010,4781,4940,51.9023
02.01.2020,5084,5290,5076,5197,128.9605
04.01.2020,5193,5255,5093,5162,88.50789999999999
05.01.2020,5160,5403,5102,5244,60.01969999999999
06.01.2020,5244,5286,4918,4995,175.89499999999995
07.01.2020,4994,5058,4864,4984,118.64929999999998
11.01.2020,5029,5132,4892,4965,32.5033
12.01.2020,4963,5172,4951,5126,28.3315
13.01.2020,5125,5211,5124,5165,29.1753
14.01.2020,5160,5260,5149,5251,27.025099999999995
15.01.2020,5248,5296,5141,5210,25.6702
19.01.2020,5181,5379,5181,5311,45.7827
20.01.2020,5309,5564,5300,5522,77.804
21.01.2020,5521,5563,5319,5379,157.77120000000002
22.01.2020,5378,5453,5324,5438,46.7036
23.01.2020,5437,5442,4931,5037,150.366
27.01.2020,5070,5131,5027,5072,26.0852
28.01.2020,5071,5228,5045,5180,24.479199999999995
29.01.2020,5176,5298,5176,5249,26.899500000000003
30.01.2020,5248,5364,5232,5349,40.2262
01.02.2020,5345,5738,5313,5629,91.57850000000002
04.02.2020,5688,5698,5507,5638,379.38650000000007
05.02.2020,5634,5910,5620,5786,17.6949
06.02.2020,5786,5855,5605,5842,16.517899999999997
08.02.2020,5840,6037,5797,6023,27.6328
09.02.2020,6020,6370,6017,6231,30.822400000000005
12.02.2020,7094,7916,6809,7808,85.34290000000001
13.02.2020,7807,8279,7540,7664,214.6185
15.02.2020,7661,8207,7568,8113,111.9687
16.02.2020,8110,8330,7619,7619,53.269700000000014
17.02.2020,7619,7901,6537,7044,145.24810000000002
20.02.2020,8024,8239,7522,7949,101.6981
22.02.2020,7949,8085,7728,8033,104.4515
23.02.2020,8031,8054,7649,7778,75.57249999999999
24.02.2020,7778,7823,7422,7823,79.42649999999999
25.02.2020,7821,8122,7742,8057,100.6968
29.02.2020,8587,8885,8578,8697,250.76340000000005
01.03.2020,8697,8792,8510,8631,104.54599999999998
02.03.2020,8628,8699,8374,8589,59.8047
03.03.2020,8585,9026,8357,8403,94.40149999999996
04.03.2020,8403,8457,7973,8447,164.27729999999997
09.03.2020,8627,8704,8274,8499,71.34270000000001
10.03.2020,8496,8506,7449,7595,180.6102
11.03.2020,7592,7866,7385,7676,84.21809999999999
12.03.2020,7671,7813,7403,7631,69.84049999999999
15.03.2020,7628,8074,7627,7842,63.980900000000005
18.03.2020,7656,8024,7456,7889,113.7458
19.03.2020,7888,7997,7658,7871,57.93950000000001
